,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id,case_type
19,24,24,24,"A 1-year-old boy presents with a single, L-shaped, yellow-orange hairless patch over the left preauricular skin! The patient’s mother notes that he has never grown hair in that location! The mother is concerned because the area used to be smooth, but seems to be changing! The patient has a history of prematurity and low birthweight but is otherwise healthy! The patient has no relevant social or family history!",Juvenile xanthogranuloma,Epidermal nevus,Syringocystadenoma papilliferum.,Nevus sebaceous,Nevus sebaceous,Dermatology,dermatology_public,case_24,ungendered
20,25,25,25,"An 8-year-old African-American boy presents with a 3-day history of fever, pain, and a rash on his trunk! On examination, the patient has several fragile, bullous lesions on his trunk, many of which have eroded, exposing erythematous, annular lesions! The patient is febrile and shaking in the office, and he appears to be in pain! He has no other relevant social or family history and does not take any medications! His mother is very concerned about her son!",Bullous erythema multiforme,Stevens-Johnson syndrome,Bullous impetigo,Autoimmune bullous dermatoses,Bullous impetigo,Dermatology,dermatology_public,case_25,ungendered
21,26,26,26,"A 13-year-old boy presents to the dermatology clinic concerned about the development of red, itchy, and sometimes painful bumps on his fingers! He first noted seeing the lesions 2 months prior, in early December! Although the initial lesions have since resolved, new lesions appeared after a skiing trip the previous weekend! The patient is otherwise healthy, with no significant past medical history, and he does not take any medications! Physical examination reveals erythematous, tender papules on the lateral and dorsal aspects of the distal fingers!",Raynaud disease,"Cryoglobulinemia,",Perniosis,Chronic myelomonocytic leukemia,Perniosis,Dermatology,dermatology_public,case_26,ungendered
22,29,29,29,"A 72-year-old man presents to the clinic with an intensely itchy rash on his abdomen and chest that appeared 2 months prior! He denies starting any new medications prior to the onset of the eruption and any systemic symptoms! Although he traveled and stayed in hotels recently, he reports that his wife does not exhibit any similar symptoms! Physical examination reveals numerous discrete papules, crusted papules, and papulovesicles on the chest, abdomen, and mid-back! His upper and lower extremities, face, and groin are unaffected!",Grover disease,Scabies,Bullous pemphigoid,Pemphigus vulgaris,Grover disease,Dermatology,dermatology_public,case_29,ungendered
23,30,30,30,"The patient is a 38-year-old Hispanic woman who presents with a 1-year history of a very pruritic rash over her interscapular area! On examination, she has a circular area of slightly hyperpigmented macules in the interscapular region! The patient complains of pruritus but no pain in the area of the rash! The patient has no other medical problems and has no systemic symptoms! She has no relevant social or family history and does not take any medications!",Macular amyloidosis,Lichen amyloidosis,Prurigo nodularis,Paresthetica,Macular amyloidosis,Dermatology,dermatology_public,case_30,ungendered
24,33,33,33,"On day-of-life 2, a 3-day-old boy who was born with no visible skin problems begins to develop erosions and bullae over both the palmar and plantar surfaces! These bullae are localized to areas of friction or trauma (eg, where electrocardiogram leads were placed)! The mother’s pregnancy was normal, and the infant had been born without complications! Aside from the development of bullae, the infant has no evidence of any other medical problems! The infant’s parents are healthy and have no medical problems! No one in the infant’s family has had similar dermatologic findings!",Staphylococcal infection,Herpes,Epidermolysis bullosa,Bullous impetigo,Epidermolysis bullosa,Dermatology,dermatology_public,case_33,ungendered
25,35,35,35,"A 79-year-old white man with an extensive history of nonmelanoma skin cancer presents for a routine skin examination! During his visit, he asks to have a groin rash checked! For 1 to 2 years, he has been using over-the-counter and prescription antifungal and antibiotic creams for a presumed “jock itch!” Recently, he has developed more discomfort and reports episodic, profuse bleeding from the area! Examination reveals a large erythematous, eroded plaque on the posterior right scrotum extending anteriorly to the right upper thigh! A nodule is present within the plaque! The left scrotum is minimally involved, and there is no adenopathy!",Squamous cell carcinoma in situ,Extramammary Paget disease,Langerhans cell histiocytosis,Amelanotic melanoma,Extramammary Paget disease,Dermatology,dermatology_public,case_35,ungendered
26,36,36,36,"A 61-year-old woman presents concerned about a white discoloration on her left breast that she first noticed 6 months earlier! It itches at times, and she is worried it might be cancerous! She showed it to her gynecologist at her annual visit, and he referred her to the dermatology clinic! Physical examination of the left breast reveals a 10-cm white, smooth, porcelain-like plaque! There is no associated erythema and no noticeable scale!",Lichen sclerosus et atrophicus,Lichen nitidus,Tinea versicolor,Vitiligo,Lichen sclerosus et atrophicus,Dermatology,dermatology_public,case_36,ungendered
27,37,37,37,"A 56-year-old man presents with diffuse pruritic papules involving the upper body, with nose and forehead thickening! Over the past 2 years, he has been evaluated by multiple specialists for dysphagia, reflux, chronic kidney disease, hypertension, and dyspnea on exertion! Examination results are significant for generalized firm, fleshy, dome-shaped papules of several millimeters in diameter, on his forehead, ears, neck, trunk, back, proximal upper extremities, and dorsal hands, with forehead, glabella, and nose induration! Relevant laboratory findings include monoclonal gammopathy on serum immunofixation, consisting of immunoglobulin (Ig) G_ and IgA_, and unremarkable thyroid panel findings",Scleredema,Scleroderma,Scleromyxedema,Nephrogenic systemic fibrosis,Scleromyxedema,Dermatology,dermatology_public,case_37,ungendered
28,40,40,40,"A 13-month-old toddler with spreading eczema on his trunk and arms is brought in by his mother! She is applying moisturizer and a cortisone cream! However, 2 days earlier, a wound appeared on his left hand that appears to be infected! Since then, more areas of raw, oozing skin have developed! Examination reveals lichenified scaling plaques scattered on the trunk and posterior knees and arms, and his left arm has monomorphic crusted vesicles and ulcerations on an erythematous base!",Impetigo,Eczema herpeticum,Varicella zoster virus infection,Animal pox infection,Eczema herpeticum,Dermatology,dermatology_public,case_40,ungendered
29,41,41,41,"A 30-year-old healthy Hispanic woman presents with a slowly progressive facial deformity present since early childhood! She denies any new lesions during this time, any history of trauma to the area, and any family history of similar skin lesions! Examination reveals a bulging, deformed dermal mass with a “bag-of-worms” appearance involving the upper right quadrant of her face, with hypertrophy of the overlying skin and soft tissues! Neurofibromas and café-au-lait macules are not observed!",Schwannomas,Synovial sarcoma,Plexiform neurofibroma,Eczema herpeticum,Plexiform neurofibroma,Dermatology,dermatology_public,case_41,ungendered
30,42,42,42,"A healthy 45-year-old woman presents with a several-month history of a small papule at the corner of her right eye! The lesion is asymptomatic and is not enlarging, but she has cosmetic concerns! She denies diplopia, vision loss, or any other lesions on her face and body! Examination reveals a dome-shaped, smooth, translucent papule filled with watery fluid located below the lateral canthus of her right eye!",Cystic pleomorphic adenomas,Warthin tumors,Mucous retention cysts,Hidrocystomas,Hidrocystomas,Dermatology,dermatology_public,case_42,ungendered
31,43,43,43,"A 32-year-old white woman who has never smoked presents with pruritic, tender, erythematous, violaceous patches with eczema-like blisters on her upper, lateral thighs! In 2012, she began traveling annually from Pennsylvania to South Carolina, from January through April, where she works with and rides horses daily from morning to evening! Her symptoms began in her first year in South Carolina and appear consistently from January through March! Her lesions appear initially in mid-January as a red dot and progress by mid-February! They resolve spontaneously in March!",Chilblains,Cutaneous lupus erythematosus,Equestrian perniosis,Cutaneous sarcoidosis,Equestrian perniosis,Dermatology,dermatology_public,case_43,ungendered
32,44,44,44,"A healthy 30-year-old man presents with a 3-year history of an asymptomatic, fleshy papule at the base of his great toe! He denies any new lesions during this time, a history of trauma to the area, or a family history of similar skin lesions! He was treated previously by another dermatologist with cryotherapy; however, he returns to the clinic with recurrence of the lesion! Examination reveals a pedunculated, flesh-colored, well-demarcated tumor on the plantar surface of the base of his great toe!",Acquired digital fibrokeratoma (ADFK),Pyogenic granuloma,Necrobiosis lipoidica,Cutaneous horn,Acquired digital fibrokeratoma (ADFK),Dermatology,dermatology_public,case_44,ungendered
33,46,46,46,"A 60-year-old man presents with rapidly growing lesions on his face, trunk, axillae, flexural areas, and groin! The lesions appeared 3 months earlier in his perianal area and extended rapidly to other areas! Previously, he was treated with topical agents for atopic dermatitis and seborrheic dermatitis without improvement! Examination reveals disseminated violaceous papules and plaques on the face, trunk, axillae, and perianal area; some lesions were confluent and ulcerated! Yellowish-red to skin-colored papules are present on the scalp! He has no palpable lymphadenopathy or organomegaly!",Seborrheic dermatitis,Cutaneous Langerhans cell histiocytosis,Prurigo nodularis,Atopic dermatitis,Cutaneous Langerhans cell histiocytosis,Dermatology,dermatology_public,case_46,ungendered
34,47,47,47,"A 13-year-old girl presents with a cystic lesion that has been on her forearm for several years! Concerned about the lesion, she reports that it may have grown slightly larger in the past year and it is intermittently painful! More recently, a second similar lesion has appeared in close proximity! She denies any other suspicious lesions elsewhere on her skin! Her family history is negative for skin cancer, and she reports no other medical conditions! Physical examination reveals two well-defined 6-mm nodules that are rubbery, slightly tender, and pink on the right proximal ventral forearm! The overlying skin is intact, and there is no associated adenopathy!",neuroma,Angiolipoma,Glomus tumor,Spiradenoma,Spiradenoma,Dermatology,dermatology_public,case_47,ungendered
35,48,48,48,"A 62-year-old man with well-controlled rosacea, a monoclonal gammopathy of undetermined significance, and chronic lymphocytic leukemia (CLL; stable on no current therapy) was seen in the clinic for a full-body skin check! Results of his examination were unremarkable except for the presence of periorbital, yellow-brown plaques with violaceous borders involving the upper and lower eyelids, bilaterally! There was induration, but no warmth or tenderness, of the periorbital plaques! He first noticed these lesions around the time he was diagnosed with CLL; initially they were more discrete yellow papules that developed into plaques over time! They are completely asymptomatic!",Adult-onset xanthogranuloma,Necrobiotic xanthogranuloma,Erdheim-Chester disease,Adult-onset asthma with periocular xanthogranuloma,Necrobiotic xanthogranuloma,Dermatology,dermatology_public,case_48,ungendered
36,51,51,51,"A 28-year-old healthy white woman with no significant past medical history presents with an enlarging papule on her right lateral neck! She describes a 1- to 2-mm pink papule that grew to approximately 10 mm within the past week! With minimal rubbing or trauma, the papule intermittently bleeds! It is otherwise nontender and nonpruritic! She has no history of skin cancer and is taking oral contraceptives! Physical examination shows a pink, friable papule on a stalk on the right lateral neck! There are no other similar lesions seen on examination!",Amelanotic melanoma,Kaposi sarcoma,Pyogenic granuloma,Bacillary angiomatosis,Pyogenic granuloma,Dermatology,dermatology_public,case_51,ungendered
37,52,52,52,"A healthy 12-month-old infant girl presents with a yellowish-orange papule on the right upper extremity! Her mother first noticed this lesion approximately 6 months earlier! It has never bled, ulcerated, or formed blisters! The infant does not scratch the lesion nor appears otherwise bothered by it! However, when the lesion is rubbed, it appears to swell and turn bright red! On physical examination, there is a soft, oval-shaped, yellowish papule with a peripheral rim of erythema on the right extensor forearm!",Solitary mastocytoma,Pseudomonas nail infection,Epidermolysis bullosa,Bullous arthropod bites,Solitary mastocytoma,Dermatology,dermatology_public,case_52,ungendered
38,53,53,53,"An otherwise healthy 60-year-old dishwasher presents with asymptomatic green discoloration of his right middle fingernail over a period of 2 months! The discoloration began from the distal margin! He denies wearing gloves while working and reports a tendency to pick at his nails when nervous! On examination, distal onycholysis and green discoloration are present exclusively on the right middle nail plate starting from the distal edge without signs of paronychia! Dermoscopy reveals pigment localization under the nail plate!",Subungual hematomas,Glomus tumors,Pseudomonas nail infection,Solitary mastocytoma,Pseudomonas nail infection,Dermatology,dermatology_public,case_53,ungendered
39,55,55,55,"A 50-year-old woman presents with a 5-day history of progressive, painful rash involving her face, trunk, extremities, nasal tip, and ears, in addition to fever and arthralgia! She admits to a history of polysubstance use and states that her last use was a week prior to symptom onset! She denies a history of autoimmune disease or recent travel! Examination reveals retiform purpura with areas of necrosis and bullae formation! Urine toxicology screening is positive for cocaine, and laboratory findings include leukopenia and an elevated erythrocyte sedimentation rate (70 mm/h)!",Disseminated intravascular coagulation,Warfarin-induced skin necrosis,Tinea incognito,Levamisole-induced antineutrophil cytoplasmic antibody vasculitis,Levamisole-induced antineutrophil cytoplasmic antibody vasculitis,Dermatology,dermatology_public,case_55,ungendered
40,58,58,58,"A 30-year-old Hispanic woman presents with her 1-year-old son, concerned that he has only small amounts of thin, wispy hair on his head and has none anywhere else on his body! She notes that he does not yet have any teeth, but has a large forehead and ears! He has been irritable and crying for the past day! She reveals a personal history of very high body temperature at times during the summer and says she customarily stays indoors with the air conditioning on, especially in the summer! On physical examination, she has sparse hair on her scalp and eyebrows, as well as eczematous patches on her bilateral lower extremities!",Schöpf-Schulz-Passarge syndrome,Witkop tooth and nail syndrome,Trichodento-osseous syndrome,Hypohidrotic ectodermal dysplasia,Hypohidrotic ectodermal dysplasia,Dermatology,dermatology_public,case_58,ungendered
41,60,60,60,"A 25-year-old man with no remarkable past medical history presents with an itchy rash on the feet! Symptoms began 2 months ago, starting over the dorsal toes with redness, scaling, and itching! The eruption spread over the dorsum of the feet and progressed to weeping and crusting! He reports recently buying new shoes for work as a chef, which requires 15 hours daily of standing! Due to profuse sweating, his socks become soaked daily! Examination reveals symmetric erythematous plaques over the bilateral dorsum of both feet with fissures, scaling, and lichenification! No blisters or vesicles are present, but there are scattered crusted erosions!",Mycosis fungoides,Dyshidrosis,Sézary syndrome,Shoe dermatitis,Shoe dermatitis,Dermatology,dermatology_public,case_60,ungendered
42,61,61,61,"A 55-year-old black man presents for evaluation of fine wrinkles that had developed over the past year! Physical examination reveals diffuse areas offine wrinkling that run parallel to lines of cleavage on his neck, chest, axilla, trunk, back, and upper arms bilaterally! The affected skin has normal pigmentation and lacks erythema, induration, and atrophy! Lateral tension obliterates the wrinkling! The patient never notes any inflammation, itching, or pain! There are no signs or symptoms of systemic involvement! He denies sunbathing and denies any history of skin disorders or other significant health problems!",Marshall syndrome,Perifollicular elastolysis,Mid-dermal elastolysis,Anetoderma,Mid-dermal elastolysis,Dermatology,dermatology_public,case_61,ungendered
43,62,62,62,"A 26-year-old African American man with no significant past medical history presents with a growth on his left foot that had been increasing in size for 1 year! He initially thought it was a wart but had concerns when it continued to grow and became painful! Examination reveals an exophytic, brown, and mildly tender nodule, 3cm in diameter, on his left medial heel and instep! The overlying skin is crusted and friable! His nails and hair show no abnormalities! There is no associated lymphadenopathy! The remainder of the examination is unremarkable!",Ulcers,Hematomas,Acral lentiginous melanoma,Dysplastic nevus,Acral lentiginous melanoma,Dermatology,dermatology_public,case_62,ungendered
44,64,64,64,"A man, aged 68 years, with no known history of atopy presents with a 4-month history of an itchy and burning rash on the legs that has been recurring every winter for the past 3 years! He notes that he had dry skin at baseline and did not use emollients, but he did try hydrocortisone 1% cream without improvement! Examination revealed ovoid, erythematous, well-marginated plaques on the lower legs and dorsal feet with variable scaling and focal weeping and crusting! There were no nail changes, and the rest of his skin examination was notable only for xerosis!",Bullous impetigo,Psoriasis,Tinea corporis,Nummular dermatitis,Nummular dermatitis,Dermatology,dermatology_public,case_64,ungendered
45,65,65,65,"An elderly man presents with asymptomatic hyperpigmented, confluent, brown macules on his upper and lower lips, along with hyperpigmented macules on his hands! He also has diffuse blue-black bilateral melanonychia with nail dystrophy on his toenails, and his fingernails contain longitudinal melanonychia with hyperpigmentation of the proximal nail beds! He denies any family history of mucocutaneous pigmentation or gastrointestinal or systemic symptoms! In the last 5 years, results of a colonoscopy, upper gastrointestinal endoscopy, and blood work have all been within normal limits!",Laugier-Hunziker syndrome,Peutz-Jeghers syndrome,Bandler syndrome,McCune-Albright syndrome,Laugier-Hunziker syndrome,Dermatology,dermatology_public,case_65,ungendered
46,66,66,66,"A man, aged 42 years, presents with a 6-month history of a painful, scaly skin rash! The eruption is symmetrically distributed over photosensitive areas, affecting his face, neck, upper back, forearms, and hands! The dorsal surfaces of his hands and forearms exhibit a dusky brown coloration over rough and cracked skin! He complains of itching and burning and reports intermittent vomiting and diarrhea! He admits to heavy alcohol intake for the last 2 decades and denies taking any medications! Neuropsychiatric evaluation reveals short-term memory loss, speech problems, and poor concentration!",Pellagra,Polymorphous light eruption,Photoallergic skin reaction,Phototoxic skin reaction,Pellagra,Dermatology,dermatology_public,case_66,ungendered
47,67,67,67,"A 68-year-old white man presents with 4 weeks of progressively worsening thickening of the skin and plaques on the bilateral nipple and areola! He has no personal or family history of warts or epidermal nevi and has not had hormonal therapy! On examination, he has hyperpigmented, verrucous plaques bilaterally, with no associated erythema or lymphadenopathy! Skin biopsy shows hyperkeratosis with papillomatosis! Corticosteroid treatment failed, but there was some minor improvement with calcipotriol after several weeks of use!",Acanthosis nigricans,Darier disease,Chronic eczema,Nipple hyperkeratosis,Nipple hyperkeratosis,Dermatology,dermatology_public,case_67,ungendered
48,72,72,72,"A 65-year-old man presents with a recurring rash on his back! He has had the rash several times before, most often during the summer, and it was treated successfully with an antifungal shampoo prescribed by a prior dermatologist! The rash is not itchy or painful! He has a history of depression and hypertension! On physical examination, hyperpigmented macules coalescing into patches with very fine white scale are found! The lesions are scattered primarily on his upper chest and upper back!",Pityriasis rosea,Tinea corporis,Vitiligo,Tinea versicolor,Tinea versicolor,Dermatology,dermatology_public,case_72,ungendered
49,73,73,73,"A 22-year-old woman presents for evaluation of progressive skin changes on her neck and arms beginning sometime around puberty! She tried various over-the-counter anti-itch, antiaging, and eczema creams that were ineffective! She has no personal or family history of skin conditions and is otherwise healthy! Review of systems is negative for skin laxity, joint hypermobility, or vision changes! Physical examination reveals numerous nontender, noninflammatory, yellow, 2- to 5-mm papules that coalesce into reticulated plaques on the nape of her neck and bilateral antecubital fossa! A punch biopsy demonstrates fragmentation and calcification of elastic fibers!",GGXC-mediated coagulation factor deficiency,ENPP1-mediated premature arterial calcification,Pseudoxanthoma elasticum,Ehlers-Danlos syndrome,Pseudoxanthoma elasticum,Dermatology,dermatology_public,case_73,ungendered
50,75,75,75,"A 15-year-old Black man presents with a 1-year history of light spots on his back! The rash has grown slowly, with several new lesions appearing near the first one! It is not itchy or painful! He has not tried any treatments for this condition! He has no relevant medical history and none of his family members have similar skin findings! On examination, there are several well-demarcated depigmented macules and patches on his lateral back!",Tinea versicolor,Vitiligo,Nevus depigmentosus,Postinflammatory hypomelanosis,Vitiligo,Dermatology,dermatology_public,case_75,ungendered
51,77,77,77,"A 64-year-old man with a history of numerous nonmelanoma skin cancers presents with a lesion on the left side of his nose that was first noticed about 6 months ago and is slowly growing! The lesion is not painful or itchy! The patient has not tried any medications on the lesion! The patient wears eyeglasses and the nose pad of his eyeglasses rubs on the lesion! On physical examination, an erythematous papule is found on the left superior nasal sidewall with a central depression!",Basal cell carcinoma,Acanthoma fissuratum,Chondrodermatitis nodularis helicis,Lichen simplex chronicus,Acanthoma fissuratum,Dermatology,dermatology_public,case_77,ungendered
52,78,78,78,"A 54-year-old woman with a history of depression presents to the clinic with a 1-year history of an intermittent rash! She was hospitalized for COVID-19 approximately 1 year ago and soon after developed a rash all over her body! The lesions persist for several days and have a burning sensation! The patient has no associated joint pain or other systemic symptoms! She tried antihistamines for the rash with no symptomatic relief! On examination, erythematous wheals are evident on her arms and legs as well as her back and abdomen!",Schnitzler syndrome,Urticarial vasculitis,Systemic lupus erythematosus,Photodermatitis,Urticarial vasculitis,Dermatology,dermatology_public,case_78,ungendered
